Station Name,Network Rail Region of station,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1819 Entries & Exits,1819 Interchanges
Abererch,Wales & Western,1614,614,,2228,
Addiewell,Scotland's Railway,4850,8674,4116,17640,
Adisham,Southern,8306,10136,9158,27600,
Aintree,North West & Central,202720,496788,476412,1175920,
Aldermaston,Wales & Western,17154,28626,28162,73942,
Alexandra Palace,Eastern,533996,770112,539540,1843648,53381
Alness,Scotland's Railway,23684,4882,1860,30426,
Appleby,North West & Central,11006,43014,3506,57526,1
Ardrossan Harbour,Scotland's Railway,67650,62468,1256,131374,
Ardrossan South Beach,Scotland's Railway,47366,112946,60326,220638,271
Ardrossan Town,Scotland's Railway,5432,11866,5050,22348,
Arisaig,Scotland's Railway,3384,2842,,6226,
Arrochar & Tarbet,Scotland's Railway,13084,5494,1614,20192,
Ascott-Under-Wychwood,Wales & Western,1070,174,1394,2638,
Ashchurch for Tewkesbury,Wales & Western,38078,39060,25550,102688,
Ashley,North West & Central,3520,3298,1212,8030,
Attadale,Scotland's Railway,924,398,,1322,
Audley End,Eastern,194660,347682,437072,979414,8458
Aylesbury Vale Parkway,North West & Central,43050,39990,120226,203266,
Bamber Bridge,North West & Central,20938,36938,10888,68764,
Barmouth,Wales & Western,106112,49892,41918,197922,
Beaconsfield,North West & Central,406930,483510,736612,1627052,
Beaulieu Road,Southern,2508,5864,2214,10586,
Bebington,North West & Central,342178,381292,188280,911750,
Bedford,Eastern,535718,1840034,1682438,4058190,49544
Berkhamsted,North West & Central,537328,618754,622692,1778774,
Bermuda Park,North West & Central,20030,8376,7682,36088,
Berney Arms,Eastern,226,196,20,442,
Betchworth,Southern,3970,4368,5636,13974,
Beverley,Eastern,116744,349780,192138,658662,35
Bexleyheath,Southern,829466,796440,1216224,2842130,
Biggleswade,Eastern,253820,343950,440394,1038164,
Birmingham International,North West & Central,2050642,3101206,1823154,6975002,152468
Blackrod,North West & Central,35778,30344,497642,563764,
Blackwater,Southern,135238,232444,126074,493756,
Blaenau Ffestiniog,Wales & Western,17070,22012,20,39102,
Bookham,Southern,104654,102236,115252,322142,
Bootle New Strand,North West & Central,246776,534722,244802,1026300,514
Bowes Park,Eastern,161742,142156,484430,788328,
Bowling,Scotland's Railway,7522,17600,36204,61326,
Brading,Southern,30256,2482,9432,42170,
Braintree Freeport,Eastern,24748,39352,27474,91574,
Bricket Wood,North West & Central,14624,10938,11278,36840,
Bridgend,Wales & Western,689640,383210,486226,1559076,51195
Brixton,Southern,335002,423994,468750,1227746,
Bromley Cross (Lancs),North West & Central,102056,87196,139288,328540,
Brora,Scotland's Railway,5470,1522,,6992,
Bryn,North West & Central,57254,70632,32862,160748,
Buckshaw Parkway,North West & Central,107100,105414,153972,366486,
Burnage,North West & Central,80978,60332,70570,211880,
Burntisland,Scotland's Railway,57386,107456,60752,225594,
Burscough Bridge,North West & Central,71078,85538,59540,216156,
Butlers Lane,North West & Central,48702,74458,131118,254278,
Caergwrle,Wales & Western,14506,1660,994,17160,
Cambridge,Eastern,2626900,5942246,3414174,11983320,555666
Causeland,Wales & Western,78,1542,,1620,
Chandlers Ford,Southern,73104,74410,59678,207192,
Chatham,Southern,564428,889528,1276460,2730416,4
Chelford (Cheshire),North West & Central,17686,14920,6300,38906,
Chessington North,Southern,167540,172922,227704,568166,
Christs Hospital,Southern,31080,62304,81516,174900,
Clapham (North Yorkshire),North West & Central,2284,4096,196,6576,
Clarbeston Road,Wales & Western,4632,2584,,7216,
Clarkston,Scotland's Railway,145782,236644,186854,569280,
Cleland,Scotland's Railway,22086,33540,22442,78068,
Clitheroe,North West & Central,55962,150286,57408,263656,
Clunderwen,Wales & Western,13382,8456,136,21974,
Cooden Beach,Southern,20582,64584,23134,108300,
Corkickle,North West & Central,19740,12464,21464,53668,
Cramlington,Eastern,43356,40680,23764,107800,
Craven Arms,Wales & Western,51636,29222,20110,100968,3311
Cressington,North West & Central,120412,275942,239716,636070,
Crossmyloof,Scotland's Railway,168904,370076,176930,715910,
Crouch Hill,Eastern,197296,285936,223490,706722,
Delamere,North West & Central,11326,28144,2210,41680,
Denby Dale,Eastern,71716,55014,52670,179400,
Dinas (Rhondda),Wales & Western,27182,1428,18770,47380,
Dorking West,Southern,13906,23230,24792,61928,479
Dover Priory,Southern,218684,542740,233936,995360,84637
Dudley Port,North West & Central,93704,161724,288982,544410,
Dunbar,Scotland's Railway,31902,279912,166172,477986,
Dyce,Scotland's Railway,202256,105888,50526,358670,
East Malling,Southern,23100,30194,53814,107108,
East Tilbury,Eastern,185730,116930,155456,458116,
Ebbw Vale Parkway,Wales & Western,22456,3456,12922,38834,
Eccles (Manchester),North West & Central,74710,48902,35004,158616,
Eccles Road,Eastern,526,164,2262,2952,
Edmonton Green,Eastern,1014550,1458184,1149996,3622730,24573
Energlyn & Churchill Park,Wales & Western,49504,1546,60828,111878,10
Eskbank,Scotland's Railway,100724,234898,31420,367042,
Ewell West,Southern,486570,526552,445412,1458534,
Exmouth,Wales & Western,110638,688818,147424,946880,
Eynsford,Southern,40938,51672,94698,187308,
Farnworth,North West & Central,16674,13992,15714,46380,
Fazakerley,North West & Central,183142,554200,512978,1250320,
Ferryside,Wales & Western,11462,4506,3076,19044,
Ffairfach,Wales & Western,1598,774,,2372,
Filton Abbey Wood,Wales & Western,477206,177942,246724,901872,
Fiskerton,Eastern,26194,3332,7576,37102,
Fitzwilliam,Eastern,108320,84702,89066,282088,925
Flint,Wales & Western,135244,106234,31862,273340,
Folkestone West,Southern,118282,352396,322618,793296,1590
Furness Vale,North West & Central,7124,13476,5926,26526,
Garth (Bridgend County),Wales & Western,10676,792,714,12182,
Garth (Powys),Wales & Western,650,690,,1340,
Gathurst,North West & Central,33592,29084,31644,94320,
Gatley,North West & Central,118996,99560,131144,349700,
Giffnock,Scotland's Railway,97046,164008,98148,359202,
Giggleswick,North West & Central,4300,5612,50,9962,
Gilfach Fargoed,Wales & Western,2990,390,1016,4396,
Gipsy Hill,Southern,510158,608040,639560,1757758,
Goring-By-Sea,Southern,123762,225114,210848,559724,
Gospel Oak,Eastern,833518,1225276,640810,2699604,1576688
Grange-Over-Sands,North West & Central,20652,102626,11422,134700,
Gunnislake,Wales & Western,2492,39718,18186,60396,
Hadfield,North West & Central,95460,146418,159034,400912,
Halling,Southern,22524,25432,47068,95024,
Harlech,Wales & Western,33696,10772,90894,135362,
Harrington,North West & Central,6474,9598,8350,24422,
Hatch End,North West & Central,186282,446872,67414,700568,
Heath High Level,Wales & Western,263094,15246,162698,441038,
Heathrow Terminal 4 (Rail Station Only),,,,,,
Helmsdale,Scotland's Railway,3396,1648,,5044,
Hemel Hempstead,North West & Central,615674,790088,603132,2008894,33282
Hendon,Eastern,274396,330010,548544,1152950,
Herne Bay,Southern,114050,256844,613568,984462,
Hersham,Southern,230166,174538,452980,857684,
Hillside,North West & Central,110748,373540,201406,685694,
Hinchley Wood,Southern,80306,75214,213026,368546,
How Wood (Hertfordshire),North West & Central,14742,10572,9376,34690,
Hoylake,North West & Central,169582,245568,158616,573766,
Huddersfield,Eastern,1370194,2336078,1191340,4897612,529428
Hurst Green,Southern,91124,154028,448756,693908,72609
Ifield,Southern,66274,80106,183460,329840,
Invergordon,Scotland's Railway,22270,3942,2594,28806,
Kenilworth,North West & Central,68254,75792,26866,170912,
Kennett,Eastern,14190,7940,20554,42684,
Kensal Green,North West & Central,162834,302446,167036,632316,
Kensal Rise,Eastern,734956,1071262,1001206,2807424,
Kidbrooke,Southern,396100,358854,769578,1524532,
Kidsgrove,North West & Central,111356,85642,38116,235114,17397
Kidwelly,Wales & Western,13848,6264,7484,27596,
Kilburn High Road,North West & Central,160290,401358,253658,815306,
Kilmarnock,Scotland's Railway,171014,325748,112530,609292,16952
Kings Park,Scotland's Railway,37796,107036,86422,231254,
Kingswood,Southern,74146,70274,74672,219092,
Kirkconnel,Scotland's Railway,5886,14362,1568,21816,
Kirkham & Wesham,North West & Central,63078,126750,45984,235812,60047
Kirton Lindsey,Eastern,68,122,,190,
Kiveton Park,Eastern,19272,12230,15152,46654,
Lanark,Scotland's Railway,89358,143176,59760,292294,
Lapworth,North West & Central,12200,8168,52406,72774,
Leagrave,Eastern,281790,839436,773382,1894608,
